start_time,stop_time,annotation_str,annotation
0,14.0,others,8
14,43.0,catheter preparation,0
43,46.0,temporal removement of an artificial airway,1
46,56.0,suctioning phlegm,2
56,59.0,refitting the artificial airway,3
59,71.0,catheter disinfection,4
71,80.0,discarding gloves,5
80,90.0,positioning,6
90,130.0,auscultation,7
130,160.0,catheter preparation,0
160,163.0,temporal removement of an artificial airway,1
163,174.0,suctioning phlegm,2
174,177.0,refitting the artificial airway,3
177,190.0,catheter disinfection,4
190,197.0,discarding gloves,5
197,203.0,catheter disinfection,4
203,227.0,auscultation,7
227,233.0,others,8
