start_time,stop_time,annotation_str,annotation
0,22.0,others,8
22,64.0,catheter preparation,0
64,66.0,temporal removement of an artificial airway,1
66,75.0,suctioning phlegm,2
75,82.0,refitting the artificial airway,3
82,111.0,catheter disinfection,4
111,117.0,discarding gloves,5
117,123.0,auscultation,7
123,132.0,positioning,6
132,155.0,auscultation,7
155,186.0,catheter preparation,0
186,189.0,temporal removement of an artificial airway,1
189,198.0,suctioning phlegm,2
198,203.0,refitting the artificial airway,3
203,216.0,catheter disinfection,4
216,222.0,discarding gloves,5
222,255.0,auscultation,7
255,261.0,catheter disinfection,4
261,270.0,others,8
