start_time,stop_time,annotation_str,annotation
0,16.0,others,8
16,50.0,catheter preparation,0
50,53.0,temporal removement of an artificial airway,1
53,64.0,suctioning phlegm,2
64,70.0,refitting the artificial airway,3
70,97.0,catheter disinfection,4
97,102.0,discarding gloves,5
102,109.0,positioning,6
109,140.0,auscultation,7
140,177.0,catheter preparation,0
177,180.0,temporal removement of an artificial airway,1
180,187.0,suctioning phlegm,2
187,193.0,refitting the artificial airway,3
193,213.0,catheter disinfection,4
213,216.0,discarding gloves,5
216,255.0,auscultation,7
255,262.0,others,8
