start_time,stop_time,annotation_str,annotation
0,10.0,others,8
10,52.0,catheter preparation,0
52,57.0,temporal removement of an artificial airway,1
57,71.0,suctioning phlegm,2
71,76.0,refitting the artificial airway,3
76,104.0,catheter disinfection,4
104,107.0,discarding gloves,5
107,111.0,auscultation,7
111,119.0,positioning,6
119,190.0,auscultation,7
190,252.0,catheter preparation,0
252,260.0,temporal removement of an artificial airway,1
260,277.0,suctioning phlegm,2
277,283.0,refitting the artificial airway,3
283,319.0,catheter disinfection,4
319,321.0,discarding gloves,5
321,325.0,catheter disinfection,4
325,365.0,auscultation,7
365,372.0,others,8
