start_time,stop_time,annotation_str,annotation
0,10.0,others,8
10,63.0,catheter preparation,0
63,67.0,temporal removement of an artificial airway,1
67,82.0,suctioning phlegm,2
82,88.0,refitting the artificial airway,3
88,119.0,catheter disinfection,4
119,126.0,discarding gloves,5
126,135.0,catheter disinfection,4
135,147.0,positioning,6
147,176.0,auscultation,7
176,225.0,catheter preparation,0
225,244.0,suctioning phlegm,2
244,250.0,refitting the artificial airway,3
250,275.0,catheter disinfection,4
275,279.0,discarding gloves,5
279,287.0,catheter disinfection,4
287,313.0,auscultation,7
313,317.0,others,8
