start_time,stop_time,annotation_str,annotation
0,13.0,others,8
13,48.0,catheter preparation,0
48,53.0,temporal removement of an artificial airway,1
53,105.0,catheter preparation,0
105,123.0,suctioning phlegm,2
123,131.0,refitting the artificial airway,3
131,177.0,catheter disinfection,4
177,184.0,discarding gloves,5
184,199.0,positioning,6
199,240.0,auscultation,7
240,256.0,others,8
256,330.0,catheter preparation,0
330,335.0,temporal removement of an artificial airway,1
335,350.0,suctioning phlegm,2
350,383.0,catheter disinfection,4
383,393.0,refitting the artificial airway,3
393,398.0,discarding gloves,5
398,488.0,auscultation,7
488,496.0,others,8
