start_time,stop_time,annotation_str,annotation
0,11.0,others,8
11,52.0,catheter preparation,0
52,54.0,others,8
54,56.0,temporal removement of an artificial airway,1
56,63.0,suctioning phlegm,2
63,70.0,refitting the artificial airway,3
70,87.0,catheter disinfection,4
87,93.0,discarding gloves,5
93,105.0,others,8
105,111.0,positioning,6
111,113.0,others,8
113,152.0,auscultation,7
152,190.0,catheter preparation,0
190,191.0,others,8
191,194.0,temporal removement of an artificial airway,1
194,202.0,suctioning phlegm,2
202,206.0,refitting the artificial airway,3
206,220.0,catheter disinfection,4
220,222.0,discarding gloves,5
222,231.0,others,8
231,271.0,auscultation,7
271,280.0,others,8
